nEWBORN PHOTO. фОТОГРАФ НОВОРОЖДЕННЫХ. сЕМЕЙНЫЙ И ДЕТСКИЙ ФОТОГРАФ,,"Кривой Рог, Дзержинский",https://www.olx.ua/obyavlenie/newborn-photo-fotograf-novorozhdennyh-semeynyy-i-detskiy-fotograf-IDC2iYF.html#e8fb414f0a
нИБЛЕР. рАСЧЕСКА cHICCO ДЛЯ НОВОРОЖДЕННЫХ.,30 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/nibler-rascheska-chicco-dlya-novorozhdennyh-IDE72FR.html?sd=1#e8fb414f0a
КОМПЛЕКТ ИЗ 6 ПРЕДМЕТОВ ДЛЯ НОВОРОЖДЕННОЙ ПРИНЦЕССЫ,200 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/komplekt-iz-6-predmetov-dlya-novorozhdennoy-printsessy-IDGib9Q.html?sd=1#e8fb414f0a
КОНВЕРТ НА ВЫПИСКУ НОВОРОЖДЕННОГО,100 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/konvert-na-vypisku-novorozhdennogo-IDehpNm.html#e8fb414f0a
зИМНИЙ КОМБИНЕЗОН ДЛЯ НОВОРОЖДЕННЫХ,300 грн.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/obyavlenie/zimniy-kombinezon-dlya-novorozhdennyh-IDEIBuz.html?sd=1#e8fb414f0a
пРОДАМ ТЕРМОМЕТР ДЛЯ КУПАНИЯ НОВОРОЖДЕННЫХ,200 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/prodam-termometr-dlya-kupaniya-novorozhdennyh-IDAXHz0.html#e8fb414f0a
зИМНЯЯ ШАПОЧКА С ШАРФИКОМ ДЛЯ НОВОРОЖДЕННЫХ,150 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/zimnyaya-shapochka-s-sharfikom-dlya-novorozhdennyh-IDFVWDN.html?sd=1#e8fb414f0a
пЛАТЕЧКО НА НОВОРОЖДЕННОГО,165 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/platechko-na-novorozhdennogo-IDGh6Js.html?sd=1#e8fb414f0a
кОСТЮМ ДЛЯ НОВОРОЖДЕННЫХ ДЛЯ ВЫПИСКИ С РОДДОМА,150 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/kostyum-dlya-novorozhdennyh-dlya-vypiski-s-roddoma-IDGDDCc.html?sd=1#e8fb414f0a
бОДИК.кОМБИНЕЗОН.чЕЛОВЕЧЕК.вЕЩИ ДЛЯ НОВОРОЖДЕННЫХ,100 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/bodik-kombinezon-chelovechek-veschi-dlya-novorozhdennyh-IDGDDew.html?sd=1#e8fb414f0a
