расческа для новорожденных + подарок,50 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/rascheska-dlya-novorozhdennyh-podarok-IDCY25t.html#e8fb414f0a
Конверт для новорожденного,100 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/konvert-dlya-novorozhdennogo-IDAH2Ae.html#e8fb414f0a
Теплый человечек для новорожденого,99 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/teplyy-chelovechek-dlya-novorozhdenogo-IDG1J9i.html?sd=1#e8fb414f0a
Продам конверт для новорожденного,200 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/prodam-konvert-dlya-novorozhdennogo-IDBdk9n.html#e8fb414f0a
"Костюм теплый для новорожденного кофта, штаны-2шт, шапка",85 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/kostyum-teplyy-dlya-novorozhdennogo-kofta-shtany-2sht-shapka-IDuvF3v.html?sd=1#e8fb414f0a
Бандаж для фиксации шейного отдела позвоночника для новорожденных,100 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/bandazh-dlya-fiksatsii-sheynogo-otdela-pozvonochnika-dlya-novorozhdennyh-IDGmiIp.html?sd=1#e8fb414f0a
Newborn photo. Фотограф новорожденных. Семейный и детский фотограф,,"Кривой Рог, Дзержинский",https://www.olx.ua/obyavlenie/newborn-photo-fotograf-novorozhdennyh-semeynyy-i-detskiy-fotograf-IDC2iYF.html#e8fb414f0a
Ниблер. Расческа Chicco для новорожденных.,30 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/nibler-rascheska-chicco-dlya-novorozhdennyh-IDE72FR.html?sd=1#e8fb414f0a
комплект из 6 предметов для новорожденной принцессы,200 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/komplekt-iz-6-predmetov-dlya-novorozhdennoy-printsessy-IDGib9Q.html?sd=1#e8fb414f0a
конверт на выписку новорожденного,100 грн.,"Кривой Рог, Долгинцевский",https://www.olx.ua/obyavlenie/konvert-na-vypisku-novorozhdennogo-IDehpNm.html#e8fb414f0a
Зимний комбинезон для новорожденных,300 грн.,"Кривой Рог, Центрально-Городской",https://www.olx.ua/obyavlenie/zimniy-kombinezon-dlya-novorozhdennyh-IDEIBuz.html?sd=1#e8fb414f0a
Продам термометр для купания новорожденных,200 грн.,"Кривой Рог, Саксаганский",https://www.olx.ua/obyavlenie/prodam-termometr-dlya-kupaniya-novorozhdennyh-IDAXHz0.html#e8fb414f0a
Зимняя шапочка с шарфиком для новорожденных,150 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/zimnyaya-shapochka-s-sharfikom-dlya-novorozhdennyh-IDFVWDN.html?sd=1#e8fb414f0a
Платечко на новорожденного,165 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/platechko-na-novorozhdennogo-IDGh6Js.html?sd=1#e8fb414f0a
Костюм для новорожденных для выписки с роддома,150 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/kostyum-dlya-novorozhdennyh-dlya-vypiski-s-roddoma-IDGDDCc.html?sd=1#e8fb414f0a
Бодик.Комбинезон.Человечек.Вещи для новорожденных,100 грн.,"Кривой Рог, Жовтневый",https://www.olx.ua/obyavlenie/bodik-kombinezon-chelovechek-veschi-dlya-novorozhdennyh-IDGDDew.html?sd=1#e8fb414f0a
